PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI_Bucket
18,24,11,20,17,11,3,19,34,1,1,1,3
8,13,5,7,7,11,0,16,22,1,3,1,4
18,24,14,8,18,11,2,7,5,0,1,1,3
63,124,103,93,48,46,2,36,40,4,12,1,1
3,28,6,31,0,11,0,6,22,0,0,1,4
17,34,2,25,12,17,1,18,71,1,1,1,3
15,22,8,35,34,3,2,3,15,2,4,1,4
8,24,2,2,8,11,0,30,23,1,1,1,3
45,24,17,18,12,11,4,45,140,2,17,28,1
43,24,15,37,20,11,2,56,47,0,1,2,1
4,16,30,5,29,11,2,4,36,0,1,1,4
14,24,14,11,20,11,1,13,36,1,1,1,3
5,15,6,16,13,8,1,6,24,0,0,1,4
16,24,0,14,17,11,1,6,30,0,2,1,3
26,41,67,35,84,28,1,8,28,10,16,1,2
5,12,22,14,30,11,2,23,25,0,1,1,4
16,25,6,23,15,11,1,7,52,0,1,1,3
18,24,11,20,17,11,3,19,34,1,1,1,3
18,24,11,20,17,11,0,19,34,0,0,0,3
7,24,11,33,12,11,1,67,64,1,20,18,4
14,20,6,7,10,8,1,14,36,1,1,2,4
4,16,6,36,5,38,0,5,14,0,0,0,3
2,24,3,3,5,28,1,6,44,0,0,1,4
30,55,6,7,17,4,3,96,51,1,1,1,2
13,25,2,10,9,4,4,16,24,0,1,1,3
8,19,6,16,10,8,0,6,18,1,8,1,4
31,28,5,5,7,8,1,13,34,0,5,0,2
18,24,11,20,17,11,3,19,34,1,1,1,3
25,24,32,131,69,11,72,187,32,0,3,4,0
1,8,2,4,3,5,0,9,18,0,0,1,5
18,24,11,20,0,11,0,19,34,0,0,0,3
6,18,5,17,8,19,1,6,20,1,1,1,4
18,24,11,20,17,11,3,19,34,1,1,1,3
3,24,1,8,4,16,38,1,3,1,14,1,4
54,100,74,52,72,34,3,27,52,5,53,6,1
18,24,11,20,50,11,0,19,34,0,0,0,3
9,22,5,13,10,21,1,20,48,0,5,0,3
9,15,2,15,8,13,0,11,24,0,5,1,4
11,23,23,33,28,8,2,15,22,0,2,2,3
7,24,3,9,6,91,1,2,15,0,0,1,4
55,104,80,54,77,37,4,26,52,6,57,5,1
13,24,2,22,3,11,1,5,47,0,1,1,3
4,15,25,13,31,11,2,30,22,0,1,1,4
