MQ135,MQ136,MQ137,MQ138,MQ2,MQ3,MQ4,MQ5,MQ6,MQ8,MQ9,Label
70,21,188,27,41,56,28,148,103,124,147,2
67,21,188,27,41,56,28,148,103,122,143,2
69,21,187,27,41,56,27,144,103,122,156,2
63,20,184,23,39,53,26,142,101,118,146,2
66,21,187,26,41,55,27,145,102,161,138,2
69,21,186,26,41,55,27,145,102,116,147,2
70,21,189,28,42,56,27,145,103,124,146,2
71,21,189,28,42,57,27,146,103,120,149,2
64,21,187,25,40,55,26,147,102,102,138,2
65,20,185,24,39,54,26,138,102,116,138,2
55,21,187,27,41,56,27,142,102,131,140,2
58,20,186,24,39,54,26,147,102,127,144,2
57,21,187,26,41,56,26,149,103,120,143,2
62,21,188,28,43,57,27,150,102,135,155,2
59,22,188,28,43,57,27,149,102,124,153,2
56,21,186,25,41,55,25,150,102,122,138,2
53,20,185,23,40,54,26,148,102,122,135,2
67,21,185,25,41,55,26,145,101,111,144,2
69,21,187,27,42,57,26,147,102,116,150,3
58,20,183,24,40,54,25,146,100,116,137,3
54,21,182,25,41,54,25,148,100,91,150,3
53,21,183,25,41,54,25,148,100,106,131,3
54,21,183,27,43,55,25,145,100,109,147,3
59,21,190,28,43,58,26,154,103,131,158,3
63,22,192,30,44,61,27,149,104,122,144,3
59,21,191,28,43,60,26,125,103,111,155,3
61,22,192,29,43,61,26,123,104,120,156,3
62,21,190,28,43,60,26,127,104,120,144,3
62,21,191,27,43,62,27,132,104,114,141,3
59,21,189,27,42,60,26,125,103,118,140,3
61,21,189,27,42,60,26,128,103,124,147,3
65,22,191,31,44,63,27,129,104,127,155,3
62,21,189,30,43,62,26,127,103,116,146,3
59,21,188,27,41,60,25,127,103,114,141,3
62,21,189,29,43,61,26,128,103,113,138,3
64,22,190,31,44,63,26,134,103,120,152,3
61,21,188,28,43,61,25,128,103,116,138,3
59,21,187,27,41,60,25,128,102,113,143,3
65,22,189,31,44,64,26,128,103,124,155,3
62,21,188,29,41,62,25,128,103,118,149,3
62,21,189,29,42,63,25,130,103,137,150,3
63,21,189,29,43,63,26,132,103,124,146,3
64,22,189,31,43,65,26,130,104,120,149,3
66,22,191,31,43,65,26,132,104,133,152,3
67,22,191,33,44,66,26,131,104,126,150,3
67,22,191,32,45,66,26,134,104,133,152,3
69,22,191,33,45,68,26,153,104,129,155,3
66,22,190,31,44,65,26,131,104,161,153,3
66,22,190,30,44,66,26,132,104,129,141,3
64,21,189,27,43,65,26,133,104,120,135,3
66,22,190,31,44,67,26,134,104,120,143,3
69,22,191,33,45,68,26,132,105,102,158,3
67,22,190,33,45,68,26,135,104,114,143,3
70,22,191,33,46,68,26,164,105,124,135,3
69,22,191,33,46,69,26,161,105,122,141,3
67,22,189,32,45,68,26,135,104,114,156,3
71,23,192,34,46,70,26,153,105,133,156,3
64,21,188,29,42,66,24,131,103,131,143,3
72,23,191,35,47,71,26,135,106,120,155,3
69,22,190,32,44,68,25,134,104,124,143,3
69,22,190,32,45,69,25,164,104,156,152,3
72,23,191,34,46,71,26,143,107,131,152,3
66,22,188,31,43,68,25,132,106,113,146,3
78,22,190,32,45,70,25,142,107,126,147,3
67,22,189,31,44,69,25,140,104,118,146,3
69,22,189,31,44,70,25,134,104,118,146,3
71,23,191,34,45,71,26,137,105,150,152,3
71,23,190,34,46,72,25,137,105,131,149,3
72,22,188,32,44,70,25,163,104,141,150,3
75,22,188,33,45,71,25,168,104,120,158,3
72,22,188,31,44,69,24,134,104,102,141,3
76,23,191,35,47,73,25,136,106,126,156,3
90,22,189,33,45,71,25,137,104,143,134,3
82,22,187,33,45,71,24,135,103,116,146,3
67,22,187,31,44,70,24,135,103,100,152,3
53,19,177,21,36,61,20,125,99,113,134,3
66,21,186,30,44,70,24,154,103,113,150,3
65,21,185,30,43,70,24,158,103,122,137,3
65,21,185,31,42,68,23,134,102,106,150,3
71,22,188,35,45,72,24,138,104,122,155,3
72,22,188,36,47,74,25,148,104,122,153,3
65,21,185,31,44,70,23,138,102,113,152,3
78,23,190,37,48,75,25,142,104,126,160,3
81,23,189,36,46,74,24,168,104,113,155,3
75,22,189,35,46,73,24,168,104,118,149,3
77,23,188,36,46,74,24,142,104,126,156,3
76,22,188,35,45,74,24,138,103,116,156,3
76,22,188,35,46,73,24,161,103,148,155,3
76,23,191,39,48,77,25,145,104,124,161,3
73,23,190,38,48,75,24,147,104,120,158,3
73,23,191,39,48,77,25,145,105,107,163,3
73,23,189,37,47,76,24,168,104,109,160,3
76,23,191,40,49,77,25,164,104,113,164,3
75,23,191,40,48,77,24,143,105,118,161,3
75,23,191,40,47,78,25,143,104,127,166,3
61,21,184,31,41,70,21,135,102,120,149,3
72,23,191,38,47,77,24,144,104,122,161,3
79,24,195,43,50,81,25,148,106,127,180,3
75,23,192,40,48,79,24,149,105,126,160,3
76,23,193,41,49,80,24,149,105,126,169,3
73,23,190,40,48,79,24,149,104,122,155,3
77,24,193,42,50,81,25,150,106,124,158,3
70,23,189,38,46,78,23,149,104,114,158,3
71,23,190,38,47,79,23,151,107,124,161,3
75,23,192,41,48,81,24,151,105,122,164,3
72,23,192,40,47,80,23,178,109,111,160,3
73,23,193,41,48,81,24,149,109,122,166,3
73,23,193,40,48,81,24,158,109,113,164,3
78,24,196,43,50,83,24,153,110,118,166,3
77,24,195,43,48,83,24,151,109,116,156,3
79,24,196,44,50,85,24,155,110,120,163,3
75,23,192,42,48,82,23,152,108,122,153,3
77,24,195,43,49,85,24,156,109,124,158,3
48,18,179,23,34,67,18,143,101,92,124,3
46,18,174,23,32,67,18,142,100,92,114,3
46,18,174,23,33,68,18,139,97,102,113,3
78,24,192,44,48,87,24,155,105,127,164,3
78,24,192,45,49,87,24,155,106,120,164,3
70,23,188,40,44,79,22,154,103,113,146,3
97,25,196,49,51,90,25,161,107,124,174,3
81,25,196,48,50,89,24,160,107,126,161,3
87,24,193,45,50,86,23,160,105,118,170,3
78,22,189,40,42,79,20,152,102,111,158,3
